Name,YC_Batch,Status,Founded_Year,Team_Size,Location,Short_Description,Long_Description,Industries,Website,LinkedIn,Twitter,Crunchbase,GitHub,Founders,Founder_LinkedIns,YC_URL
📱 App Preview,SUMMER 2024,,2023,5,"Mexico City, CDMX, Mexico",Global Venmo for cross border payments,"TL;DR: Blaze is building a global Venmo for cross-border payments. For example, if you're a Californian nomad living in Mexico City, you can use Blaze to pay rent to your local landlord. Or if you're an expat living in Colombia, you can use Blaze to pay your teacher for Spanish classes. Check us out on iOS and Android!

A quick intro for you:","FINTECH, CRYPTO / WEB3, PAYMENTS, FINANCE, TRAVEL",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/useblazeapp,https://x.com/faiyamrahman?s=21,https://www.crunchbase.com/organization/blaze-payments,https://github.com/blaze-xyz,"TL;DR: Blaze is building a global Venmo for cross-border payments. For example, if you're a Californian nomad living in Mexico City, you can use Blaze to pay rent to your local landlord. Or if you're an expat living in Colombia, you can use Blaze to pay your teacher for Spanish classes. Check us out on iOS and Android!",https://linkedin.com/in/faiyam-rahman | https://www.linkedin.com/in/lucsucces | https://linkedin.com/in/zagnienski,https://www.ycombinator.com/companies/blaze-2
,WINTER 2021,,2020,35,"Monterrey, Nuevo Leon, Mexico",Largest B2B eCommerce platform for SMBs in Latin America.,,MARKETPLACE,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/65319102,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/boitas-com,,,https://www.linkedin.com/in/raulmaldonadomtz/ | https://www.linkedin.com/in/marcelogalvandelagarza12/,https://www.ycombinator.com/companies/boitas-com
,WINTER 2022,,2021,3,"San José Province, San José, Costa Rica",Investment super app for Latin America,,"FINTECH, CRYPTO / WEB3",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/botinapp,https://twitter.com/rbaronmonge,https://www.crunchbase.com/organization/botin,,,https://www.linkedin.com/in/robertbaronmonge/ | https://www.linkedin.com/in/jamesjara,https://www.ycombinator.com/companies/botin
How can you help us?,SUMMER 2022,,2021,3,"Panama City, Panama",Accounting software with an AI agent,"When people spend on behalf of their company, they have to save those receipts. Some get lost, some get erased, and some become a source of questioning. What was that receipt for?","SAAS, AI",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/botonapp,https://twitter.com/asosa16,,,,https://www.linkedin.com/in/alvaro-sosa-281478ba/ | https://www.linkedin.com/in/fernando-varela-1934387b/,https://www.ycombinator.com/companies/boton
,SUMMER 2018,,2017,18,"San Juan, Puerto Rico",Automated receptionist that answers missed calls for local businesses,,"ARTIFICIAL INTELLIGENCE, SAAS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/brainhi/,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/brainhi,https://github.com/brainhi,,https://www.linkedin.com/in/emmanuelfoquendo/ | https://www.linkedin.com/in/israel11/,https://www.ycombinator.com/companies/brainhi
⭐ It's not just another text-to-SQL chatbot,SUMMER 2023,,2022,2,"São Paulo, State of São Paulo, Brazil",The collaborative data platform.,"Hey YC! I'm Lucas, founder of Briefer: a data workspace for notebooks and dashboards.","DEVELOPER TOOLS, B2B, DATA SCIENCE, DATA ENGINEERING, DATA VISUALIZATION",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/briefercloud/,https://twitter.com/thewizardlucas,,https://github.com/briefercloud,,https://linkedin.com/in/lucasfdacosta | https://linkedin.com/in/lucas-vieira-1ba001a4,https://www.ycombinator.com/companies/briefer
,WINTER 2015,,2014,100,"Mexico City, CDMX, Mexico",Sunrun for the developing world,,"FINTECH, SOLAR POWER, CLIMATE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/9506733/,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/bright-3,,,http://www.linkedin.com/in/jonahgreenberger/,https://www.ycombinator.com/companies/bright
,SUMMER 2021,,2026,17,"Mexico City, CDMX, Mexico",The Work Number for LatAm,,"PAYROLL, API",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/ycombinator,,,,https://www.linkedin.com/in/pepejcar/ | https://www.linkedin.com/in/antoinenguyenhd/,https://www.ycombinator.com/companies/buro-de-ingresos
,SUMMER 2017,,2016,28,"Brasilia - Federal District, Brazil",bxblue is a marketplace for people with guaranteed income in Brazil.…,,FINTECH,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/bxblue,https://twitter.com/nukdf,https://www.crunchbase.com/organization/bxblue,https://github.com/bxblue,,http://www.linkedin.com/in/fabriciobuzeto | https://www.linkedin.com/in/gorenstein/ | https://www.linkedin.com/in/robertomb,https://www.ycombinator.com/companies/bxblue
,SUMMER 2018,,2019,750,"Monterrey, Nuevo Leon, Mexico",Full-stack grocery delivery in LatAm,,"GROCERY, MARKETPLACE, LOGISTICS, SUPPLY CHAIN",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/calii,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/calii,,,https://linkedin.com/in/maurizioc | https://www.linkedin.com/in/david-eduardo-arrambide-80201511b/,https://www.ycombinator.com/companies/calii
Problem,WINTER 2022,,2020,5,"Santiago, Santiago Metropolitan Region, Chile",All-in-one spend management for businesses in Latam,"TL;DR We're building Cardda, the simplest way for Latam companies to make their payments. We give corporate credit cards, tools for bill payments and automated local transfers.","FINTECH, SAAS, PAYMENTS, B2B, NEOBANK",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://cl.linkedin.com/company/cardda,https://twitter.com/cgrinbergs,https://www.crunchbase.com/organization/cardda,,,https://www.linkedin.com/in/cgrinbergs | https://www.linkedin.com/in/sebasti%C3%A1n-hern%C3%A1ndez-cardda/,https://www.ycombinator.com/companies/cardda
,SUMMER 2021,,2019,60,"São Paulo, State of São Paulo, Brazil",Global online sales platform,,"SAAS, E-COMMERCE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/cartpanda,https://twitter.com/ycombinator,,,,https://www.linkedin.com/in/lucascastellani/,https://www.ycombinator.com/companies/cartpanda
,WINTER 2020,,,50,"São Paulo, State of São Paulo, Brazil",CARUPI is the world's 1st managed P2P marketplace for used cars,,"AUTO COMMERCE, MARKETPLACE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/gocarupi,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/carupi,https://github.com/carupi,,https://www.linkedin.com/in/diegofischer/,https://www.ycombinator.com/companies/carupi
,WINTER 2022,,2021,50,"Bogotá, Bogota, Colombia",Built Rewards for Latam. Pay Rent and get benefits.,,"FINTECH, CONSUMER, PROPTECH",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/castiacol/mycompany/,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/acasa/company_financials,,,https://www.linkedin.com/in/mauricio-pe%C3%B1aranda-9606401b/ | https://www.linkedin.com/in/nicolaspenaranda/ | https://www.linkedin.com/in/eduardo-restrepo-pombo-7634bb26/,https://www.ycombinator.com/companies/castia
,SUMMER 2021,,2017,10,"Santiago, Santiago Metropolitan Region, Chile",Automated communication between hospitals and patients in Latam,,"MACHINE LEARNING, CONSUMER HEALTH SERVICES, B2B, NLP",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/ceroai/,https://twitter.com/perez,,,,https://cl.linkedin.com/in/luis-felipe-rodr%C3%ADguez-besa-31ba772a | https://www.linkedin.com/in/mauricio-quezada-317100199/,https://www.ycombinator.com/companies/cero
,SUMMER 2020,,2020,86,"Belo Horizonte - State of Minas Gerais, Brazil",All-in-one platform for creators to sell courses and subscriptions,,"FINTECH, SAAS, PAYMENTS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/ycombinator,,https://github.com/hub-la,,https://www.linkedin.com/in/arthur-alvarenga-0623b193/ | https://linkedin.com/in/breno-lima-38a09922 | https://www.linkedin.com/in/bernardo-reis-22255659/ | https://www.linkedin.com/in/raphael-capel%C3%A3o-052759135/,https://www.ycombinator.com/companies/chatpay
,WINTER 2020,,2018,45,"Buenos Aires, Argentina",E-commerce site where you can buy certified used-cars in Latin America,,"FINTECH, MARKETPLACE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/checkars,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/checkars,,,https://ar.linkedin.com/in/juancruzdelarua | https://www.linkedin.com/in/jaime-macaya-65650012/,https://www.ycombinator.com/companies/checkars
,SUMMER 2021,,2016,37,"Santiago, Santiago Metropolitan Region, Chile",Quickbooks for SMBs in Latam,,"FINTECH, SAAS, B2B",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/chipax,https://www.chipax.com/,https://www.crunchbase.com/organization/chipax,,,https://www.linkedin.com/in/tonicorreal/ | https://www.linkedin.com/in/fgdemussy/ | https://www.linkedin.com/in/felipe-urzua-toral/,https://www.ycombinator.com/companies/chipax
,WINTER 2025,,2025,17,"Bogotá, Bogota, Colombia",AI Accountant for Accounting Firms,,"FINOPS, SAAS, AI",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/cifrato,https://twitter.com/ycombinator,,,,https://www.linkedin.com/in/juan-pisco/,https://www.ycombinator.com/companies/cifrato
,SUMMER 2020,,2019,90,"Mexico City, CDMX, Mexico",The real estate superapp for Mexico,,"FINTECH, MACHINE LEARNING, MARKETPLACE, PROPTECH",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/berncordero,,,,https://www.linkedin.com/in/bernardo-cordero-0bb4b527/ | https://www.linkedin.com/in/vnoguera/,https://www.ycombinator.com/companies/clau
,WINTER 2021,,2019,155,"Buenos Aires, Argentina",Amazon-like logistics for e-commerce companies in Latam,,"WAREHOUSE MANAGEMENT TECH, B2B, LOGISTICS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/clicoh/,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/clicoh,,,https://www.linkedin.com/in/agustin-novillo-saravia/ | https://www.linkedin.com/in/juan-altamirano/ | https://www.linkedin.com/in/emiliano-segura/,https://www.ycombinator.com/companies/clicoh
,WINTER 2021,,2020,30,New York City,AI-powered customer service for startups,,"ARTIFICIAL INTELLIGENCE, SAAS, CHATBOT, CUSTOMER SERVICE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/cloud-humans/,https://twitter.com/IanKraskoff,https://www.crunchbase.com/organization/cloud-humans,,,https://www.linkedin.com/in/iankraskoff/ | https://www.linkedin.com/in/bruno-cecatto | https://www.linkedin.com/in/felipeserraoliveira/,https://www.ycombinator.com/companies/cloud-humans
,WINTER 2022,,2021,12,"Mexico City, CDMX, Mexico",Innovative insurance solutions for underserved markets.,,INSURANCE,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/24984730/admin/,https://twitter.com/cluppseguro,https://www.crunchbase.com/organization/clupp,,,https://www.linkedin.com/in/omartronco/ | https://www.linkedin.com/in/marisolsn,https://www.ycombinator.com/companies/clupp
,SUMMER 2023,,2022,9,"Monterrey, Nuevo Leon, Mexico",Dual Currency Accounts For LatAm,Coba allows international knowledge workers in Mexico to deposit their USD paychecks in US accounts and spend in pesos. One account…two currencies.,"FINTECH, LATIN AMERICA, REMITTANCES, NEOBANK",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/cobaremote,https://www.twitter.com/kurenn,,https://github.com/coba-ai,,https://www.linkedin.com/in/abraham-kuri-vargas-b41a2126/ | https://www.linkedin.com/in/elopezdeleon/ | https://linkedin.com/in/carlos-medellin-cfo,https://www.ycombinator.com/companies/coba
,WINTER 2021,,2019,225,"Buenos Aires, Argentina",Effective and accessible online live education.,,"EDUCATION, ELEARNING, COMMUNITY",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/chrisapatino,https://www.crunchbase.com/organization/coderhouse,https://github.com/CoderHouse,,https://www.linkedin.com/in/christian-pati%C3%B1o-1038061a/ | https://www.linkedin.com/in/nahuellema/,https://www.ycombinator.com/companies/coderhouse
,WINTER 2022,,2021,45,"Buenos Aires, Argentina",Compliance tools for financial companies in LatAm KYC & AML,,"FINTECH, SAAS, B2B, COMPLIANCE, REGTECH",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/complif,https://twitter.com/complif,https://www.crunchbase.com/organization/celeri-19c5,,,https://www.linkedin.com/in/lucasranallo/ | https://www.linkedin.com/in/mcaramutti/,https://www.ycombinator.com/companies/complif
,WINTER 2022,,2021,21,"São Paulo, State of São Paulo, Brazil",One-click checkout and AI sales assistant for LatAm.,,"FINTECH, B2B, E-COMMERCE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/comprarapida/,https://twitter.com/ycombinator,,,,https://www.linkedin.com/in/mariomarcoccia/,https://www.ycombinator.com/companies/compra-rapida
,SUMMER 2020,,2018,130,"São Paulo, State of São Paulo, Brazil",All-in-one financial platform for latam Startups and SMBs.,,"FINTECH, LATIN AMERICA, SMB",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/12999304,https://twitter.com/contasimplesbr,https://www.crunchbase.com/organization/conta-simples,https://github.com/conta-simples,,https://www.linkedin.com/in/rodrigo-tognini-184287a7/ | https://www.linkedin.com/in/ricardo-gottschalk-32786111/ | https://www.linkedin.com/in/fernandorsantos/,https://www.ycombinator.com/companies/conta-simples
,SUMMER 2021,,2019,75,"Monterrey, Nuevo Leon, Mexico",We help Accountants automate work and serve their customers online,,,https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/contalink,https://twitter.com/ewilliamsh,https://www.crunchbase.com/organization/contalink,,,https://www.linkedin.com/in/eduardowilliams/ | https://www.linkedin.com/in/carlos-salinas-a83a9493/,https://www.ycombinator.com/companies/contalink
,SUMMER 2019,,,6,"Mexico City, CDMX, Mexico",The digital insurance broker for SMEs in LATAM,,"INSURANCE, LATIN AMERICA",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,,https://twitter.com/ycombinator,https://www.crunchbase.com/organization/covela,,,https://www.linkedin.com/in/vgarridof | https://www.linkedin.com/in/antoinenguyenhd/ | https://www.linkedin.com/in/pamela-perez-osorio-a436266b/,https://www.ycombinator.com/companies/covela
,WINTER 2022,,2021,12,"Mexico City, CDMX, Mexico",Clear.co for LATAM. Revenue based financing for online sellers.,,"FINTECH, E-COMMERCE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/creizer,https://twitter.com/EmilianoMusalem,https://www.crunchbase.com/organization/creizer,,,https://www.linkedin.com/in/emiliano-musalem-58463a135/,https://www.ycombinator.com/companies/creizer
,WINTER 2019,,2018,4,"Panama City, Panama",Building the operating system for developing world merchants,,"FINTECH, E-COMMERCE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/16228455,https://twitter.com/felcheck,https://www.crunchbase.com/organization/cuanto,,,https://www.linkedin.com/in/felipeechandi | https://www.linkedin.com/in/jorge-luis-garcia-chapman-09487717/ | https://www.linkedin.com/in/jose-varela-9a345813/,https://www.ycombinator.com/companies/cuanto
,SUMMER 2021,,2021,5,"São Paulo, State of São Paulo, Brazil",Bare-metal access to Brazil's Open Finance and Pix systems,"We're Daniel, Bruno, and Pedro — founders of Cumbuca. We’re the first proxy for Brazil’s regulated ecosystem. After years of building fintechs in Brazil, we saw how painful it is to obtain a license or depend on PSPs and BaaS providers. Our previous B2C operation scaled to over a million accounts, and we suffered since a lot of our core product relied on partner infra, and it hurt us to not be able to solve the issues affecting our customers. We’ve been deeply involved with Open Finance since its earliest days — we were one of the first players in the ecosystem and became the fourth ITP/PISP license ever issued in Brazil, and after closing our B2C operation decided to pivot to B2B and build the financial infrastructure partner we always wished existed for ourselves.","FINTECH, B2B, API, INFRASTRUCTURE",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/appcumbuca,https://twitter.com/appcumbuca,https://www.crunchbase.com/organization/comadre,https://github.com/appcumbuca,,http://linkedin.com/in/daniel-ruhman-0b739353,https://www.ycombinator.com/companies/cumbuca
,WINTER 2019,,2018,22,"San Francisco, CA, USA",Develop your CI/CD pipelines as code and run them anywhere,,"DEVELOPER TOOLS, DEVSECOPS",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/dagger-io/,https://twitter.com/dagger_io,,https://github.com/dagger,,https://www.linkedin.com/in/solomonhykes/,https://www.ycombinator.com/companies/dagger
,SUMMER 2021,,2019,60,"Maringá - Floriano, Maringá - State of Paraná, Brazil",Datlo helps companies increase sales and expand through data,,"SAAS, GEOGRAPHIC INFORMATION SYSTEM, B2B",https://startupschool.org/?utm_source=yc&utm_campaign=ycdc_header,https://www.linkedin.com/company/siga-geomarketing/,https://twitter.com/ycombinator,,,,https://br.linkedin.com/in/mateus-felini | https://www.linkedin.com/in/raisa-spagnol-a589999b/,https://www.ycombinator.com/companies/datlo
