startup_name,location_country,sector,funding_date,funding_year,date_precision,amount_usd,amount_is_estimate,investors,stage,debt_equity,female_cofounder_or_ceo,local_founder,intnl_founder,launched,accelerator,employees,source_file,country,region_group
Eazipay,Nigeria,fintech,,2022,year_only,500000.0,False,Y Combinator,Undisclosed,Equity,No,Yes,No,2021,Yes,4.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Touch and Pay,Nigeria,fintech,,2022,year_only,500000.0,False,Y Combinator,Undisclosed,Equity,No,Yes,No,2019,Yes,55.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Bamboo,Nigeria,fintech,1-01-01,2022,full_date,15000000.0,False,"Greycroft and Tiger Global with participation from Motley Fool Ventures, Saison Capital,  Chrysalis Capital and Y-Combinator’s Michael Seibel, amongst others. LoftyInc",Series A,Equity,Yes,Yes,No,2020,Yes,50.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Nithio,Nigeria,energy,1-01-01,2022,full_date,,False,Shell Foundation,Undisclosed,Equity,Yes,Yes,Yes,2018,No,23.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Nestcoin,Nigeria,fintech,1-02-01,2022,full_date,6450000.0,False,"Distributed Global, Alter Global, Serena Ventures, Alameda Research, A&T Capital, MSA Capital, 4DX Ventures, Raba Capital, Goat.vc, Social Capital, Old Fashion Research, CMT Digital, Electric Capital, Social Capital, CoinFund, gumi Cryptos Capital, and DeFi Alliance",Pre-Seed,Equity,No,Yes,No,2021,No,41.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
AltSchool Africa,Nigeria,ed-tech,1-02-01,2022,full_date,1000000.0,False,"Voltron Capital, NestCoin, Odba VC, and Pledges. Olugbenga Agboola of Flutterwave, Shola Akinlade of Paystack, Dr. Ola Brown, and entertainment personalities, Folarin ‘Falz’ Falana and Akitoye Balogun, popularly known as ‘Ajebutter22’.",Pre-Seed,Equity,No,Yes,No,2021,No,23.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Vesti,Nigeria,fintech,,2022,year_only,520000.0,False,"Oxygen Group, Microtraction, Prunedge Technologies, Terramax Ventures, GB Digitals, and Midlothian Angel Network (February), Techstars (April)",Pre-Seed,Equity,No,Yes,No,2021,No,5.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Moove,Nigeria,fintech,,2022,year_only,181800000.0,False,"NBK Capital Partners (February), Speedinvest, Left Lane Capital and the latest.ventures, and also featuring AfricInvest, MUFG Innovation Partners, Latitude and Kreos Capital (March), British International Investment (July), Emso Asset Management (October)",Undisclosed/ Series A2,Equity/Debt,No,No,Yes,2019,No,180.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Casava,Nigeria,fintech,1-02-01,2022,full_date,4000000.0,False,"Target Global with participation from Entrée Capital, Oliver Jung, Monzo founder Tom Blomfield and Stash founders Ed Robinson and Brandon Krieg. African founders such as Uche Pedro (founder of BellaNaija), Babs Ogundeyi and Musty Mustapha (co-founders of Kuda), Shola Akinlade (co-founder of Paystack), Olugbenga “GB” Agboola (co-founder of Flutterwave), Honey Ogundeyi (founder of Edukoya), Opeyemi Awoyemi (co-founder of Jobberman), and others also participated in the round.",Pre-Seed,Equity,No,Yes,No,2019,No,15.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Mecho Autotech,Nigeria,auto-tech,1-02-01,2022,full_date,2150000.0,False,"Future Africa, Hoaq Capital, Cathexis Ventures, V8 Capital, Silver Squid and Tekedia Capital.",Seed,Equity,No,Yes,No,2021,Yes,41.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Reliance Health,Nigeria,e-health,1-02-01,2022,full_date,40000000.0,False,"Partech, Picus Capital, Tencent Exploration, Asia Africa Investment and Consulting (AAIC), P1 Ventures, Laerdal Million Lives Fund, M3, Inc, and Arvantis Social Foundation",Series B,Equity,No,Yes,No,2015,No,151.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Duplo,Nigeria,fintech,,2022,year_only,5600000.0,False,"Oui Capital, and also features the likes of MyAsia VC, Flutterwave CEO Olugbenga “GB” Agboola, and Mono CEO Abdul Hassan (February), Y Combinator (accelerator), Liquid2 Ventures, Soma Capital, Tribe Capital, Commerce Ventures, Basecamp Fund, and Y Combinator, while Oui Capital re-invested (September)",Pre-Seed/Seed,Equity,No,Yes,No,2021,Yes,12.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
CrowdForce,Nigeria,fintech,1-02-01,2022,full_date,3600000.0,False,Aruwa Capital Management with participation from HAVAÍC and AAIC,Pre-Series A,Equity,No,Yes,No,2015,No,55.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Remedial Health,Nigeria,e-health,,2022,year_only,5400000.0,False,"Global Ventures and Ventures Platform, with participation from Ingressive Capital, Voltron Capital, and angel investment from Flutterwave’s Olugbenga “GB” Agboola, Victor Asemota, Opeyemi Awoyemi’s Angel Syndicate Fund, and other investors (February), Y Combinator (accelerator), Global Ventures, Tencent, Y Combinator, Cathexis Ventures, LightSpeed Venture Partners Scout Fund, Ventures Platform, Alumni Ventures and True Capital Management also participated in the round, which included prominent angel investors such as Guillaume Luccisano and Christopher Golda (September)",Pre-Seed/Seed,Equity,No,Yes,No,2019,Yes,6.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Flutterwave,Nigeria,fintech,1-02-01,2022,full_date,250000000.0,False,"Led by B Capital Group, the US$250 million Series D round also features Alta Park Capital, Whale Rock Capital and Lux Capital, as well as existing investors such as Glynn Capital, Avenir Growth, Tiger Global, Green Visor Capital and Salesforce Ventures.",Series D,Equity,No,Yes,No,2016,No,459.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Earnipay,Nigeria,fintech,1-02-01,2022,full_date,4000000.0,False,"Canaan, with participation from XYZ Ventures, Village Global, Musha Ventures, Ventures Platform, Voltron Capital and Paystack CEO Shola Akinlade.",Seed,Equity,No,Yes,No,2021,No,10.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Heyfood,Nigeria,logistics,1-02-01,2022,full_date,500000.0,False,Y Combinator,Undisclosed,Equity,No,Yes,No,2021,Yes,4.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Treepz,Nigeria,transport,1-02-01,2022,full_date,150000.0,False,SOSV,Undisclosed,Equity,No,Yes,No,2019,Yes,72.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Milezmore,Nigeria,logistics,1-02-01,2022,full_date,5000000.0,False,Brimore,Pre-Seed,Equity,No,Yes,No,2021,No,50.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Canza Finance,Nigeria,fintech,1-02-01,2022,full_date,3270000.0,False,"Fenbushi Capital, with participation from Dominance Ventures, Bixin Ventures, Consensys, Protocol Labs, Emergo Ventures, MEXC Global, NGC Ventures, XanPool, Hashkey, the founders of Celo, and others.",Seed,Equity,Yes,Yes,No,2020,Yes,15.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Voyance,Nigeria,fintech,1-02-01,2022,full_date,500000.0,False,"Beta.Ventures with participation from other investors like Zedcrest Capital, HoaQ club, a community of creators and operators. Individual investors involved include Fola Olatunji-David, the founding partner of Kickoff Africa, Chidinma Iwueke, a principal at QED Investors, Seni Sulyman, the founder of Black Ops, and Nelly Chatue-Diop, the co-founder and CEO of Ejara. Plus Techstars, LoftyInc",Pre-Seed,Equity,No,Yes,No,2019,Yes,39.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Credrails,Nigeria,fintech,1-02-01,2022,full_date,,False,"Precursor Ventures, Samos Investments, SoftBank Group, Unicorn Growth Capital, Launch Africa, First Circle Capital",Seed,Equity,Yes,Yes,No,2020,No,12.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
MAX,Nigeria,transport,,2022,year_only,24000000.0,False,,Undisclosed,Equity,No,Yes,No,2015,Yes,305.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Sudo Africa,Nigeria,fintech,1-03-01,2022,full_date,3700000.0,False,"Global Founders Capital (GFC) led the round. Participating VCs include Picus Capital, LoftyInc Capital, Rallycap Ventures, Kepple Africa, Berrywood Capital, ZedCrest and Suya Ventures. Several African fintech founders such as Olugbenga ‘GB’ Agboola, Ham Serunjogi and Odun Eweniyi are investors in the company too.",Pre-Seed,Equity,No,Yes,No,2020,No,20.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Klump,Nigeria,fintech,1-03-01,2022,full_date,780000.0,False,"Seedcamp, with participation from MAGIC Fund, Voltron Capital, Yellowwood, Kickoff Africa, Hoaq Capital, Kesho VC, Assembly Investors, as well as several angel investors and founders, including Olugbenga “GB” Agboola, CEO of Flutterwave; Will Neale, founder of Grabyo; Michael Pennington, founder of Gumtree; Richmond Bassey, CEO of Bamboo; Babs Ogundeyi, CEO of Kuda Bank; Abdul Hassan, CEO of Mono; Opeyemi Awoyemi; and Selma Ribica.",Pre-Seed,Equity,No,Yes,No,2021,No,14.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Yep!,Nigeria,fintech,1-03-01,2022,full_date,1500000.0,False,GreenHouse Capital,Pre-Seed,Equity,No,Yes,Yes,2021,No,38.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Curacel,Nigeria,fintech,1-03-01,2022,full_date,,False,Y Combinator,Undisclosed,Equity,No,Yes,No,2017,Yes,55.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Spleet,Nigeria,prop-tech,,2022,year_only,3225000.0,False,"MetaProp VC, and also including Future Africa, FEDHA Capital, VFD Group, Moonshot VC, HoaQ, Squarefoot CEO Jonathan Wassersturm, Flutterwave CEO Olugbenga ‘GB’ Agboola, and others (March), MaC Venture Capital. Other investors include Noemis Ventures, Plug and Play Ventures, Assembly Fund, Ajim Capital, Francis Fund, and other angel investors. Existing investors from Spleet’s pre-seed round, Metaprop VC and HoaQ Fund, also participated in this round (October)",Pre-Seed/Seed,Equity,Yes,Yes,No,2018,Yes,32.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Crowdyvest,Nigeria,fintech,1-03-01,2022,full_date,18000.0,False,Startupbootcamp AfriTech,Undisclosed,Equity,Yes,Yes,No,2019,Yes,11.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Powerstove,Nigeria,energy,1-03-01,2022,full_date,18000.0,False,Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2018,Yes,6.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Qataloog,Nigeria,e-commerce,1-03-01,2022,full_date,18000.0,False,Startupbootcamp AfriTech,Undisclosed,Equity,No,Yes,No,2019,Yes,2.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
T40,Nigeria,logistics,,2022,year_only,71000.0,False,Startup Wise Guys (March),Pre-Seed,Equity,No,Yes,No,2020,Yes,19.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Nigenius,Nigeria,ed-tech,1-03-01,2022,full_date,71000.0,False,Startup Wise Guys,Undisclosed,Equity,No,Yes,No,2018,Yes,18.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Scrapays,Nigeria,waste management,1-03-01,2022,full_date,71000.0,False,Startup Wise Guys,Undisclosed,Equity,No,Yes,No,2019,Yes,14.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Simplifyd,Nigeria,connectivity,1-03-01,2022,full_date,500000.0,False,"Future Africa, Y Combinator",Pre-Seed,Equity,No,Yes,No,2020,Yes,2.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
ThriveAgric,Nigeria,agri-tech,1-03-01,2022,full_date,56400000.0,False,,Undisclosed,Debt,Yes,Yes,No,2017,Yes,264.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
African Valuables Collective,Nigeria,fintech,1-03-01,2022,full_date,,False,"Kepple Africa Ventures, Cameron Hejazi (CEO of NFT Platform Cent.co) Ronald Chagoury Jr. and several angel investors.",Undisclosed,Equity,No,Yes,No,2022,No,1.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Klas,Nigeria,ed-tech,,2022,year_only,250000.0,False,"Voltron Capital, Cabal Fund, Velocity Digital, and HoaQ, as well as a number of prominent members of the African entrepreneurship scene, including Tola Adesanmi (Spleet), Odunayo Eweniyi (Piggyvest), Nadayar Enegesi (Eden Life), Njoku Emmanuel (Lazerpay) and Leonard Stiegeler (Jumia) (March), Techstars (November)",Undisclosed,Equity,No,Yes,No,2021,Yes,9.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Kwik,Nigeria,logistics,1-03-01,2022,full_date,2000000.0,False,"XBTO Ventures, a crypto finance company with a VC arm that invests in digital assets, among other types of startups. New and existing investors such as Humla Ventures, Nabuboto, Ubisoft CEO Yves Guillemot and Pulse Africa founder Leonard Stiegeler participated.",Series A,Equity,No,No,Yes,2018,No,76.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
CredPal,Nigeria,fintech,,2022,year_only,15000000.0,False,"Greenhouse Capital, Uncovered Fund, LongCommerce, First Circle Capital, and Adii Pienaar, debt facility provided by a handful of financial institutions (March), Cairo Angels (June)",Undisclosed,Equity/Debt,No,Yes,No,2018,Yes,91.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Sycamore,Nigeria,fintech,1-04-01,2022,full_date,,False,"White Hibiscus Capital (WHC), and features a number of other private investors.",Seed,Equity,Yes,Yes,No,2019,No,67.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
ShapShap,Nigeria,logistics,1-04-01,2022,full_date,,False,V8 Capital Partners,Seed,Equity,No,Yes,No,2019,No,13.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
ImaliPay,Nigeria,fintech,1-04-01,2022,full_date,3000000.0,False,"Leonnis Investments, follow-on from Ten 13, as well Uncovered Fund, MyAsia VC, Sajid Rahman, KSK Angels, Jedar Capital, Logos Ventures, Plug N Play Ventures, Untapped Global, Latam Ventures, Cliff Angels, Chandaria Capital, Changecom, and other angels from Serbia, Kenya and Norway.",Seed,Equity,No,Yes,No,2020,Yes,65.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Simpu,Nigeria,retail-tech,1-04-01,2022,full_date,1120000.0,False,Techstars,Pre-Seed,Equity,No,Yes,No,2020,Yes,23.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
ZirooPay,Nigeria,fintech,1-04-01,2022,full_date,11400000.0,False,"Zrosk Investment Management. Existing investors Nordic venture fund Inventure returned, with participation from other private and institutional funds such as Fedha Capital and Exotix Advisory.",Series A,Equity,No,Yes,Yes,2014,No,14.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Umba,Nigeria,fintech,1-04-01,2022,full_date,15000000.0,False,"Tom Blomfield, the co-founder of Monzo, and previous backers Lachy Groom and ACT Ventures. New investors such as Lux Capital, Palm Drive Capital, Banana Capital and Streamlined Ventures participated, while VC firm Costanoa Ventures led the round.",Series A,Equity,No,Yes,Yes,2018,No,67.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
ETAP,Nigeria,fintech,1-04-01,2022,full_date,1500000.0,False,"led by Mobility 54, the venture capital arm of Toyota Tsusho and CFAO Group, with participation from Tangerine Insurance, Graph Ventures, Newmont and other angel investors.",Pre-Seed,Equity,No,Yes,No,2021,No,14.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Syarpa,Nigeria,fintech,1-04-01,2022,full_date,500000.0,False,led by CrossFund and FirstFounders and also featuring Yolo Investments and a strategic angel investor.,Pre-Seed,Equity,No,Yes,No,2021,No,19.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Farmerline,Nigeria,agri-tech,1-04-01,2022,full_date,14400000.0,False,"Acumen Resilient Agriculture Fund (ARAF) and FMO, Greater Impact Foundation, Oiko Credit, DEG, Rabobank, Ceniarth, Rippleworks, Mulago Foundation, Whole Planet Foundation, Netri Foundation and Kiva.",Pre-Series A,Equity/Debt,No,Yes,No,2013,Yes,77.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
AfriEx,Nigeria,fintech,1-04-01,2022,full_date,10000000.0,False,"Sequoia Capital China and Dragonfly Capital with participation from Goldentree, Stellar Foundation and Exceptional Capital, among others.",Series A,Equity,No,Yes,No,2019,Yes,38.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
9jacodekids,Nigeria,ed-tech,1-04-01,2022,full_date,350000.0,False,"Angel investors, and Bolaji Balogun, CEO Chapel Hill Denham.",Seed,Equity,No,Yes,No,2016,No,30.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Kwely,Nigeria,Senegal,1-04-01,2022,full_date,1000000.0,False,"WIC Capital, LoftyInc Capital Management, Haskè Ventures and other notable investors",Seed,Equity,Yes,Yes,No,2019,No,10.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
OnePort 365,Nigeria,logistics,1-04-01,2022,full_date,5000000.0,False,"Mobility 54, the VC arm of Toyota Tsusho and CFAO Group, with participation from SBI Investment, Flexport, ODX, a Singaporean syndicate fund and other strategic angel investors. Samurai Incubate also re-invested after participating in the previous round.",Seed,Equity,No,Yes,No,2019,Yes,38.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Torche,Nigeria,fintech,1-04-01,2022,full_date,20000.0,False,Techstars,Undisclosed,Equity,Yes,Yes,No,2021,Yes,8.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
EMTECH,Nigeria,fintech,1-04-01,2022,full_date,5000000.0,False,LoftyInc Capital,Seed,Equity,No,Yes,No,2021,No,6.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Hello Tractor,Nigeria,agri-tech,1-05-01,2022,full_date,1000000.0,False,Heifer International,Undisclosed,Debt,No,Yes,No,2014,Yes,48.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Masa Finance,Nigeria,fintech,1-05-01,2022,full_date,3500000.0,False,"Unshackled Ventures and Lateral Capital (backers of Pngme), executives from GoldenTree Asset Management, Flori Ventures, and GSR. Other participating investors are Decentranet Intersect VC, Peer VC, Alves Ventures and some angel investors in the fintech/blockchain space.",Pre-Seed,Equity,No,No,Yes,2021,No,22.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Norebase,Nigeria,trade-tech,1-05-01,2022,full_date,1000000.0,False,"co-led by Samurai Incubate and Consonance Investment, and also featured Sahil Lavingia (Gumroad), Kinfolk VC, Future Africa, Ventures Platform, Microtraction, Boleh Venture, Voltron Capital, Wuri Ventures, Afropreneur, and angel investments from African tech ecosystem leaders Shola Akinlade, Odunayo Eweniyi, Adia Sowho, Akin Oyebode, and Seni Sulyman.",Pre-Seed,Equity,No,Yes,No,2021,Yes,19.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Kwaba,Nigeria,fintech,1-05-01,2022,full_date,,False,CcHub,Pre-Seed,Equity,No,Yes,No,2020,Yes,13.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Kaltani,Nigeria,clean-tech,1-05-01,2022,full_date,4000000.0,False,,Seed,Equity,No,Yes,No,2019,No,31.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Identitypass,Nigeria,digital identity,1-05-01,2022,full_date,2800000.0,False,"MaC Venture Capital, Y Combinator, Soma Capital, True Capital Fund and Sherwani Capital",Seed,Equity,Yes,Yes,No,2020,Yes,25.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Bridgecard,Nigeria,fintech,1-05-01,2022,full_date,940000.0,False,"ABV Fund, Ingressive Capital, Voltron Capital, Venture Platform, Velocity Digital, and Berrywood Capital (round), Y Combinator (accelerator)",Pre-Seed,Equity,No,Yes,No,2021,Yes,10.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
TopShip,Nigeria,logistics,1-05-01,2022,full_date,2500000.0,False,"Flexport, Y Combinator, Soma Capital, Starling Ventures, Olive Tree Capital, Capital X and True Capital. The individual investors in the round include Immad Akhund, Mercury CEO and Arash Ferdowsi, co-founder of Dropbox.",Seed,Equity,No,Yes,No,2021,Yes,22.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Betastore,Nigeria,retail-tech,1-05-01,2022,full_date,2500000.0,False,"500 Global, VestedWorld and Loyal VC",Pre-Series A,Equity,No,Yes,No,2021,No,9.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Sidebrief,Nigeria,trade-tech,1-05-01,2022,full_date,25000.0,False,The Baobab Network,Undisclosed,Equity,No,Yes,No,2020,Yes,27.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Lendha,Nigeria,fintech,1-05-01,2022,full_date,25000.0,False,The Baobab Network,Undisclosed,Equity,No,Yes,No,2020,Yes,15.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
GoodTalent,Nigeria,recruitment,1-05-01,2022,full_date,25000.0,False,The Baobab Network,Undisclosed,Equity,Yes,Yes,No,2020,Yes,14.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Westa Solar,Nigeria,energy,1-05-01,2022,full_date,,False,African and Austrian Investment Fund for SMEs (AAIF),Undisclosed,Debt,No,No,Yes,2019,No,10.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Hadada,Nigeria,fintech,1-05-01,2022,full_date,,False,"Cf2, Angel Investors",Pre-Seed,Equity,No,Yes,No,2021,No,10.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Crop2Cash,Nigeria,agri-tech,1-05-01,2022,full_date,,False,Katapult,Undisclosed,Equity,No,Yes,No,2018,Yes,24.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Aladdin Digital Bank,Nigeria,fintech,,2022,year_only,,False,"LoftyInc Capital Management, WeFunder",Undisclosed,Equity,No,Yes,No,2020,No,26.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Mizala,Nigeria,fintech,1-05-01,2022,full_date,125000.0,False,On Deck,Undisclosed,Equity,No,Yes,No,2020,Yes,14.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
ShopEX,Nigeria,e-commerce,1-06-01,2022,full_date,635000.0,False,HAVAIC,Pre-Seed,Equity,No,Yes,No,2018,No,75.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Indicina,Nigeria,fintech,1-06-01,2022,full_date,3000000.0,False,"Target Global, Greycroft, RV Ventures",Seed,Equity,Yes,Yes,No,2019,Yes,49.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
VeendHQ,Nigeria,fintech,1-06-01,2022,full_date,330000.0,False,"Magic Fund, The Oak Capital, Future Africa, Berrywood Capital and other angel investors.",Pre-Seed,Equity,No,Yes,No,2021,No,20.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Kibo School,Nigeria,ed-tech,1-06-01,2022,full_date,2000000.0,False,"led by Neo, a VC firm by the co-founder of Code.org. Future Africa, Pledges, Brooklyn Bridge Ventures, Transcend Network and several angel investors",Seed,Equity,Yes,Yes,Yes,2021,No,27.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Rural Farmers Hub,Nigeria,agri-tech,1-06-01,2022,full_date,520000.0,False,Startupbootcamp AfriTech,Pre-Seed,Equity,No,Yes,No,2019,Yes,17.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Thepeer,Nigeria,fintech,1-06-01,2022,full_date,2100000.0,False,"Raba Partnership, RaliCap, Timon Capital, BYLD Ventures, Musha Ventures, Sunu and Uncovered Fund. African fintechs Chipper Cash and Stitch invested too.",Seed,Equity,No,Yes,No,2021,No,10.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Healthtracka,Nigeria,e-health,1-06-01,2022,full_date,1500000.0,False,"Ingressive, Hustle and Flying Doctors",Undisclosed,Equity,Yes,Yes,No,2021,Yes,17.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Koolboks,Nigeria,energy,1-06-01,2022,full_date,500000.0,False,All On,Undisclosed,Equity,No,Yes,No,2018,No,62.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
Clafiya,Nigeria,e-health,1-06-01,2022,full_date,125000.0,False,Norrsken,Undisclosed,Equity,Yes,Yes,No,2021,Yes,14.0,Funded_African_tech_startups_2022.xlsx,Nigeria,Africa
